Label	Text
substitute	can we swap olive oil with butter?
remove	eliminate butter
add	insert milk to my recipe
substitute	replace eggs with tofu
remove	can you remove rice?
substitute	use butter instead of olive oil
add	add tofu
substitute	substitute honey for eggs
substitute	trade beef for eggs
substitute	replace butter with beef
substitute	replace chicken with rice
remove	get rid of tofu
substitute	i prefer chia seeds over chicken
add	i want to include vegan cheese
add	let's put mushroom in it
add	include yogurt please
remove	no olive oil in this
remove	delete coconut milk from the list
add	i'd like to add chia seeds
remove	skip the coconut milk
remove	get rid of eggs
substitute	can we swap sugar with quinoa?
substitute	substitute sugar for mushroom
add	let's put chicken in it
remove	eliminate honey
add	i'd like to add vegan cheese
remove	can you remove olive oil?
remove	don't use chia seeds
add	add milk to the list
remove	no yogurt in this
substitute	trade milk for quinoa
substitute	switch butter for cheese
substitute	trade flour for butter
remove	skip the honey
add	i want to include beef
add	let's put coconut milk in it
remove	exclude chicken
add	insert flour to my recipe
remove	delete tofu from the list
remove	don't use butter
remove	skip the almond milk
add	please add oat flour
substitute	switch vegan cheese for olive oil
add	throw in some chicken
add	i want to include oat flour
remove	get rid of oat flour
add	insert chicken to my recipe
remove	remove rice
remove	exclude eggs
substitute	replace sugar with chicken
add	add beef to the list
add	can you add beef?
substitute	please use cheese instead of yogurt
remove	don't use cheese
substitute	replace eggs with beef
add	i'd like to add butter
add	can you add butter?
remove	get rid of flour
add	please add flour
substitute	exchange cheese with beef
substitute	i prefer olive oil over almond milk
add	can you add chicken?
remove	remove coconut milk
substitute	switch sugar for eggs
substitute	replace chicken with mushroom
remove	don't use milk
remove	delete oat flour from the list
add	let's put chicken in it
substitute	use tofu instead of vegan cheese
substitute	please use vegan cheese instead of beef
remove	remove almond milk
remove	no honey in this
remove	remove chicken
remove	can you remove honey?
substitute	please use flour instead of chicken
add	i'd like to add beef
substitute	replace coconut milk with mushroom
add	please add sugar
add	let's put beef in it
add	throw in some rice
add	i'd like to add oat flour
add	include cheese please
substitute	can we swap chicken with coconut milk?
add	insert coconut milk to my recipe
substitute	replace chicken with yogurt
substitute	can we swap tofu with milk?
substitute	please use flour instead of milk
add	let's put milk in it
substitute	please use chia seeds instead of coconut milk
substitute	please use chicken instead of mushroom
add	include olive oil please
substitute	can we swap butter with rice?
add	include almond milk please
substitute	replace honey with chicken
add	please add mushroom
add	can you add eggs?
remove	delete vegan cheese from the list
add	add flour to the list
add	please add oat flour
remove	no honey in this
substitute	substitute eggs for coconut milk
add	i'd like to add olive oil
add	insert sugar to my recipe
remove	exclude quinoa
remove	get rid of mushroom
remove	get rid of vegan cheese
substitute	switch chicken for rice
remove	delete chicken from the list
add	let's put butter in it
add	let's put vegan cheese in it
add	i want to include honey
substitute	switch beef for quinoa
substitute	trade cheese for honey
remove	can you remove beef?
remove	delete coconut milk from the list
add	i want to include olive oil
substitute	can we swap honey with yogurt?
remove	no milk in this
remove	skip the milk
substitute	switch vegan cheese for cheese
add	i'd like to add chicken
add	i'd like to add honey
remove	skip the milk
remove	take out honey
substitute	can we swap eggs with sugar?
remove	don't use rice
remove	skip the butter
add	i want to include vegan cheese
add	insert yogurt to my recipe
remove	can you remove flour?
remove	take out chicken
add	throw in some chia seeds
remove	skip the mushroom
add	throw in some vegan cheese
substitute	exchange olive oil with chicken
add	throw in some honey
add	add almond milk
add	i'd like to add vegan cheese
add	add butter to the list
remove	get rid of butter
substitute	substitute sugar for chicken
substitute	can we swap vegan cheese with coconut milk?
remove	don't use milk
add	i'd like to add yogurt
add	insert eggs to my recipe
add	let's put flour in it
remove	eliminate honey
remove	can you remove olive oil?
remove	get rid of oat flour
add	i'd like to add butter
add	add eggs to the list
substitute	replace olive oil with vegan cheese
remove	get rid of chicken
substitute	replace flour with mushroom
add	let's put beef in it
add	add sugar
remove	no eggs in this
remove	can you remove chia seeds?
substitute	trade beef for flour
remove	skip the rice
remove	get rid of olive oil
substitute	trade beef for rice
remove	exclude chia seeds
add	insert flour to my recipe
substitute	i prefer chia seeds over beef
add	insert quinoa to my recipe
remove	can you remove yogurt?
remove	delete butter from the list
add	add mushroom
substitute	trade honey for mushroom
substitute	i prefer cheese over yogurt
substitute	please use chicken instead of sugar
remove	take out honey
add	can you add rice?
remove	get rid of rice
remove	don't use milk
remove	remove rice
remove	get rid of rice
remove	can you remove beef?
remove	exclude flour
remove	skip the almond milk
add	insert almond milk to my recipe
remove	get rid of tofu
add	add oat flour to the list
add	i'd like to add chia seeds
remove	exclude butter
add	please add flour
substitute	exchange eggs with milk
substitute	can we swap milk with cheese?
add	add yogurt to the list
add	please add beef
substitute	i prefer quinoa over oat flour
substitute	replace mushroom with honey
substitute	trade honey for milk
substitute	can we swap yogurt with oat flour?
substitute	change quinoa to mushroom
add	add quinoa
substitute	substitute chia seeds for yogurt
remove	exclude yogurt
remove	exclude cheese
substitute	exchange butter with cheese
add	include tofu please
substitute	exchange honey with sugar
add	i'd like to add olive oil
remove	get rid of eggs
substitute	substitute yogurt for chicken
substitute	change chia seeds to rice
remove	can you remove vegan cheese?
substitute	i prefer chicken over rice
remove	take out sugar
add	include butter please
remove	don't use honey
remove	eliminate mushroom
substitute	i prefer cheese over beef
remove	get rid of beef
remove	can you remove rice?
substitute	please use oat flour instead of butter
add	add sugar to the list
substitute	use olive oil instead of rice
remove	no eggs in this
remove	remove chicken
add	let's put sugar in it
add	let's put cheese in it
add	insert rice to my recipe
add	i'd like to add olive oil
add	please add rice
add	let's put chia seeds in it
add	throw in some coconut milk
add	can you add beef?
add	i'd like to add beef
add	i want to include oat flour
remove	don't use cheese
add	add cheese
remove	skip the rice
remove	get rid of vegan cheese
add	include olive oil please
add	add quinoa
remove	get rid of rice
add	include yogurt please
add	insert olive oil to my recipe
add	i'd like to add vegan cheese
substitute	switch mushroom for honey
remove	exclude cheese
substitute	please use sugar instead of butter
substitute	trade quinoa for cheese
substitute	switch chia seeds for olive oil
add	throw in some quinoa
remove	can you remove rice?
add	insert yogurt to my recipe
add	include quinoa please
add	let's put almond milk in it
add	please add vegan cheese
substitute	switch butter for yogurt
remove	take out eggs
remove	get rid of yogurt
substitute	change butter to chia seeds
substitute	substitute quinoa for vegan cheese
remove	remove sugar
substitute	can we swap honey with oat flour?
remove	exclude oat flour
add	include beef please
add	add chicken
remove	exclude vegan cheese
remove	don't use mushroom
add	add beef
remove	skip the vegan cheese
substitute	switch vegan cheese for oat flour
remove	don't use oat flour
remove	take out butter
remove	delete almond milk from the list
substitute	substitute coconut milk for milk
add	include eggs please
substitute	trade oat flour for butter
remove	don't use olive oil
substitute	can we swap mushroom with butter?
remove	delete honey from the list
remove	take out almond milk
remove	remove beef
substitute	use coconut milk instead of chia seeds
add	can you add coconut milk?
substitute	exchange milk with chicken
remove	no vegan cheese in this
remove	take out eggs
remove	don't use honey
add	throw in some honey
remove	take out yogurt
substitute	substitute chia seeds for cheese
add	i'd like to add butter
remove	eliminate eggs
add	i want to include olive oil
substitute	can we swap butter with cheese?
remove	skip the coconut milk
remove	delete honey from the list
remove	take out sugar
remove	skip the chicken
substitute	change quinoa to olive oil
add	throw in some vegan cheese
substitute	change tofu to oat flour
substitute	can we swap cheese with coconut milk?
add	insert beef to my recipe
remove	exclude coconut milk
remove	delete eggs from the list
substitute	use honey instead of flour
add	add flour to the list
remove	remove tofu
substitute	can we swap mushroom with chicken?
remove	can you remove olive oil?
substitute	substitute vegan cheese for cheese
add	include butter please
add	please add oat flour
remove	remove chia seeds
substitute	can we swap yogurt with eggs?
add	insert quinoa to my recipe
substitute	trade oat flour for chicken
substitute	exchange chicken with quinoa
remove	get rid of butter
add	add beef
remove	remove olive oil
substitute	replace cheese with butter
substitute	replace honey with chicken
add	add tofu to the list
remove	exclude oat flour
add	i want to include milk
remove	skip the vegan cheese
substitute	trade rice for oat flour
substitute	please use beef instead of coconut milk
add	i'd like to add sugar
add	add cheese
remove	get rid of sugar
remove	can you remove eggs?
add	i want to include vegan cheese
remove	delete chia seeds from the list
remove	don't use cheese
remove	get rid of oat flour
add	throw in some butter
remove	can you remove coconut milk?
remove	don't use quinoa
substitute	substitute rice for milk
remove	no beef in this
remove	no milk in this
substitute	can we swap yogurt with chicken?
remove	eliminate oat flour
add	i'd like to add beef
remove	exclude honey
remove	don't use chicken
remove	exclude sugar
substitute	please use chicken instead of coconut milk
substitute	substitute vegan cheese for yogurt
substitute	substitute milk for sugar
add	throw in some mushroom
substitute	substitute butter for beef
add	let's put cheese in it
add	insert cheese to my recipe
remove	skip the almond milk
remove	get rid of rice
add	include sugar please
substitute	change tofu to cheese
substitute	exchange chicken with oat flour
substitute	replace beef with almond milk
remove	exclude milk
remove	eliminate olive oil
substitute	replace coconut milk with chicken
remove	eliminate chia seeds
add	include milk please
add	insert butter to my recipe
substitute	i prefer cheese over olive oil
add	let's put mushroom in it
substitute	use vegan cheese instead of almond milk
remove	eliminate mushroom
remove	eliminate almond milk
remove	get rid of butter
remove	eliminate coconut milk
substitute	substitute sugar for chicken
remove	exclude quinoa
substitute	exchange milk with honey
substitute	replace cheese with rice
substitute	change butter to yogurt
remove	eliminate cheese
add	add mushroom to the list
add	throw in some vegan cheese
add	i want to include eggs
remove	skip the chicken
substitute	please use coconut milk instead of vegan cheese
add	let's put oat flour in it
remove	get rid of milk
add	let's put flour in it
remove	take out rice
add	please add honey
add	can you add flour?
substitute	switch quinoa for rice
remove	don't use sugar
add	can you add flour?
remove	skip the cheese
substitute	substitute butter for mushroom
add	let's put oat flour in it
remove	get rid of yogurt
remove	remove flour
add	please add chicken
remove	skip the milk
add	can you add milk?
remove	don't use milk
remove	can you remove oat flour?
remove	get rid of butter
add	add vegan cheese
remove	delete yogurt from the list
add	throw in some beef
substitute	exchange milk with butter
substitute	switch butter for oat flour
remove	get rid of almond milk
substitute	can we swap butter with yogurt?
substitute	change honey to olive oil
substitute	replace oat flour with flour
substitute	change honey to almond milk
remove	eliminate eggs
substitute	i prefer mushroom over flour
add	i'd like to add yogurt
substitute	please use honey instead of butter
substitute	can we swap cheese with butter?
substitute	exchange honey with vegan cheese
substitute	please use yogurt instead of chia seeds
substitute	change honey to rice
substitute	please use vegan cheese instead of almond milk
add	let's put coconut milk in it
add	i want to include honey
substitute	change milk to mushroom
substitute	can we swap cheese with flour?
remove	take out oat flour
add	include tofu please
remove	remove olive oil
substitute	change eggs to olive oil
add	insert beef to my recipe
substitute	can we swap quinoa with chia seeds?
add	add vegan cheese to the list
substitute	can we swap flour with chicken?
substitute	exchange yogurt with quinoa
add	include olive oil please
substitute	can we swap cheese with tofu?
add	i want to include olive oil
add	i'd like to add beef
substitute	trade milk for almond milk
substitute	switch eggs for honey
remove	exclude milk
substitute	use milk instead of rice
add	can you add milk?
remove	take out yogurt
remove	don't use chicken
add	add flour to the list
remove	take out butter
remove	get rid of coconut milk
add	i want to include honey
add	let's put almond milk in it
substitute	exchange oat flour with chicken
add	throw in some milk
remove	take out quinoa
remove	don't use almond milk
remove	remove sugar
add	let's put oat flour in it
remove	skip the olive oil
substitute	please use honey instead of coconut milk
add	include almond milk please
substitute	replace yogurt with cheese
remove	don't use almond milk
remove	no chicken in this
remove	don't use rice
add	please add butter
substitute	exchange tofu with vegan cheese
substitute	switch eggs for beef
remove	take out coconut milk
remove	no cheese in this
add	i want to include oat flour
remove	skip the mushroom
add	let's put yogurt in it
remove	exclude milk
add	insert chicken to my recipe
add	can you add sugar?
add	include chia seeds please
substitute	change honey to coconut milk
remove	remove flour
substitute	can we swap eggs with honey?
remove	take out quinoa
add	insert cheese to my recipe
remove	remove vegan cheese
substitute	please use chicken instead of beef
substitute	substitute vegan cheese for oat flour
substitute	switch flour for eggs
substitute	please use butter instead of chicken
substitute	exchange coconut milk with honey
add	insert coconut milk to my recipe
remove	exclude almond milk
substitute	substitute rice for vegan cheese
remove	take out mushroom
substitute	exchange quinoa with oat flour
remove	eliminate flour
remove	eliminate flour
substitute	exchange butter with olive oil
substitute	substitute flour for olive oil
remove	don't use vegan cheese
add	can you add beef?
add	please add cheese
add	i'd like to add eggs
substitute	exchange chicken with quinoa
add	let's put honey in it
remove	remove yogurt
remove	can you remove rice?
remove	eliminate chia seeds
substitute	can we swap sugar with vegan cheese?
substitute	switch tofu for cheese
remove	skip the chia seeds
remove	don't use vegan cheese
remove	don't use cheese
add	please add tofu
remove	skip the olive oil
substitute	substitute cheese for vegan cheese
substitute	substitute olive oil for tofu
substitute	replace oat flour with beef
add	please add chia seeds
substitute	substitute cheese for yogurt
remove	no honey in this
remove	can you remove coconut milk?
add	please add sugar
remove	exclude oat flour
add	include beef please
add	add quinoa
substitute	change quinoa to beef
remove	delete olive oil from the list
remove	don't use milk
substitute	exchange eggs with beef
add	let's put rice in it
remove	eliminate chicken
add	let's put tofu in it
add	i want to include cheese
add	i'd like to add cheese
remove	eliminate coconut milk
substitute	can we swap oat flour with tofu?
remove	can you remove chia seeds?
substitute	switch tofu for yogurt
remove	can you remove chia seeds?
substitute	exchange sugar with flour
substitute	i prefer flour over chia seeds
add	i'd like to add honey
add	i'd like to add chia seeds
remove	delete quinoa from the list
add	add honey to the list
remove	skip the sugar
add	insert tofu to my recipe
add	i want to include cheese
remove	delete eggs from the list
remove	take out cheese
substitute	exchange coconut milk with honey
substitute	substitute eggs for honey
substitute	replace milk with rice
remove	get rid of chia seeds
remove	don't use chicken
add	let's put oat flour in it
substitute	change butter to coconut milk
substitute	use chia seeds instead of tofu
remove	exclude rice
remove	skip the rice
add	i want to include almond milk
substitute	please use olive oil instead of vegan cheese
remove	exclude olive oil
add	add honey to the list
add	i want to include eggs
substitute	trade chia seeds for flour
substitute	i prefer yogurt over milk
substitute	use milk instead of olive oil
add	add coconut milk to the list
remove	exclude honey
substitute	exchange yogurt with almond milk
substitute	use eggs instead of coconut milk
add	add honey
remove	skip the milk
remove	no almond milk in this
substitute	exchange beef with almond milk
remove	no cheese in this
substitute	please use yogurt instead of butter
substitute	switch eggs for chia seeds
remove	get rid of beef
substitute	replace mushroom with chia seeds
remove	skip the chicken
remove	delete cheese from the list
remove	delete yogurt from the list
remove	remove butter
remove	can you remove chia seeds?
remove	no chicken in this
substitute	switch beef for coconut milk
remove	no quinoa in this
substitute	switch chia seeds for rice
substitute	i prefer oat flour over coconut milk
add	i'd like to add mushroom
remove	remove flour
remove	take out eggs
remove	get rid of tofu
remove	get rid of coconut milk
substitute	change mushroom to butter
remove	delete honey from the list
substitute	exchange vegan cheese with sugar
add	let's put sugar in it
remove	get rid of chicken
add	insert mushroom to my recipe
add	please add almond milk
remove	don't use chia seeds
substitute	please use cheese instead of oat flour
remove	no chicken in this
add	add chicken
remove	get rid of quinoa
substitute	i prefer mushroom over rice
remove	take out olive oil
remove	get rid of flour
substitute	use butter instead of eggs
substitute	change honey to mushroom
add	i want to include coconut milk
add	let's put flour in it
add	i want to include almond milk
add	can you add milk?
substitute	replace sugar with butter
substitute	can we swap honey with butter?
remove	remove quinoa
substitute	can we swap butter with olive oil?
remove	eliminate flour
remove	take out beef
substitute	use coconut milk instead of mushroom
add	please add sugar
add	throw in some quinoa
substitute	substitute oat flour for flour
substitute	exchange chicken with chia seeds
add	i want to include sugar
remove	no coconut milk in this
substitute	substitute coconut milk for yogurt
add	add rice to the list
remove	skip the eggs
add	can you add milk?
remove	don't use quinoa
remove	get rid of yogurt
add	throw in some almond milk
add	include beef please
substitute	use cheese instead of mushroom
add	add chia seeds
add	can you add chia seeds?
substitute	can we swap almond milk with olive oil?
remove	don't use vegan cheese
add	add milk
substitute	can we swap chicken with yogurt?
add	let's put tofu in it
remove	skip the honey
add	add butter
remove	eliminate cheese
substitute	exchange flour with almond milk
remove	don't use honey
add	add tofu to the list
substitute	please use oat flour instead of beef
add	i'd like to add rice
remove	eliminate olive oil
substitute	i prefer eggs over butter
remove	don't use coconut milk
remove	skip the chia seeds
remove	take out coconut milk
substitute	switch tofu for olive oil
remove	take out sugar
add	add honey to the list
substitute	replace eggs with vegan cheese
remove	skip the chia seeds
substitute	switch tofu for mushroom
add	can you add beef?
substitute	switch coconut milk for oat flour
add	throw in some olive oil
remove	get rid of quinoa
remove	skip the chicken
remove	get rid of cheese
add	throw in some oat flour
remove	exclude rice
add	let's put olive oil in it
substitute	can we swap quinoa with coconut milk?
add	i'd like to add rice
remove	can you remove mushroom?
add	i'd like to add coconut milk
substitute	i prefer mushroom over rice
add	i'd like to add flour
add	include mushroom please
remove	no cheese in this
remove	take out yogurt
add	i want to include almond milk
remove	skip the quinoa
remove	exclude mushroom
add	can you add mushroom?
remove	eliminate eggs
add	add yogurt
add	add butter to the list
remove	delete almond milk from the list
remove	take out tofu
substitute	switch butter for flour
remove	take out chia seeds
remove	no chia seeds in this
add	please add butter
substitute	substitute cheese for milk
substitute	can we swap butter with quinoa?
substitute	replace tofu with rice
remove	no mushroom in this
remove	delete sugar from the list
substitute	replace eggs with honey
substitute	please use chicken instead of sugar
remove	eliminate olive oil
add	i want to include butter
add	i'd like to add butter
remove	exclude honey
substitute	trade mushroom for eggs
add	add quinoa
remove	skip the milk
add	i'd like to add quinoa
remove	can you remove rice?
substitute	change sugar to olive oil
remove	get rid of sugar
add	insert beef to my recipe
add	i want to include tofu
remove	eliminate coconut milk
remove	remove vegan cheese
substitute	use almond milk instead of beef
remove	no honey in this
add	let's put yogurt in it
add	add quinoa
substitute	switch sugar for eggs
substitute	trade honey for quinoa
substitute	can we swap rice with cheese?
remove	no beef in this
substitute	use milk instead of honey
remove	remove chicken
substitute	replace vegan cheese with chicken
substitute	substitute yogurt for vegan cheese
add	i want to include butter
remove	get rid of coconut milk
remove	get rid of beef
substitute	substitute almond milk for chia seeds
remove	get rid of cheese
add	i'd like to add mushroom
substitute	substitute butter for mushroom
remove	skip the cheese
add	i'd like to add honey
substitute	exchange eggs with olive oil
add	let's put almond milk in it
remove	skip the olive oil
add	i want to include tofu
add	i'd like to add oat flour
add	please add rice
add	i want to include beef
remove	take out honey
remove	remove eggs
add	throw in some oat flour
substitute	exchange sugar with tofu
remove	exclude sugar
remove	delete almond milk from the list
add	include coconut milk please
remove	get rid of quinoa
substitute	substitute almond milk for beef
substitute	substitute mushroom for beef
substitute	substitute yogurt for mushroom
add	add tofu
remove	don't use honey
add	let's put yogurt in it
remove	skip the flour
remove	skip the chia seeds
remove	exclude tofu
substitute	i prefer almond milk over coconut milk
remove	take out milk
substitute	can we swap yogurt with sugar?
substitute	substitute oat flour for rice
substitute	can we swap chicken with mushroom?
add	please add chicken
add	let's put oat flour in it
add	i want to include quinoa
remove	no rice in this
add	insert eggs to my recipe
add	please add quinoa
add	can you add eggs?
remove	exclude rice
remove	delete cheese from the list
remove	take out tofu
substitute	substitute tofu for eggs
remove	skip the butter
remove	don't use milk
remove	skip the rice
add	throw in some oat flour
substitute	exchange honey with yogurt
add	can you add almond milk?
substitute	change yogurt to vegan cheese
substitute	replace olive oil with eggs
remove	skip the oat flour
remove	take out cheese
substitute	i prefer honey over coconut milk
add	please add yogurt
remove	get rid of mushroom
substitute	replace cheese with almond milk
remove	don't use vegan cheese
add	i'd like to add olive oil
add	add coconut milk to the list
remove	delete chia seeds from the list
add	let's put coconut milk in it
add	let's put chicken in it
remove	don't use almond milk
add	add eggs
remove	remove tofu
remove	remove flour
add	throw in some milk
substitute	can we swap mushroom with eggs?
add	i'd like to add yogurt
add	let's put vegan cheese in it
remove	remove beef
substitute	change coconut milk to milk
remove	delete butter from the list
remove	skip the honey
remove	eliminate mushroom
add	add flour
substitute	replace flour with coconut milk
remove	remove vegan cheese
substitute	use vegan cheese instead of sugar
remove	take out milk
add	add vegan cheese
substitute	trade almond milk for butter
add	throw in some quinoa
substitute	switch vegan cheese for olive oil
add	can you add butter?
remove	no vegan cheese in this
substitute	substitute yogurt for oat flour
add	i want to include oat flour
remove	don't use beef
add	i want to include sugar
substitute	please use quinoa instead of almond milk
remove	skip the yogurt
substitute	please use oat flour instead of almond milk
remove	exclude olive oil
add	add quinoa
add	i want to include coconut milk
add	insert almond milk to my recipe
substitute	use vegan cheese instead of coconut milk
remove	exclude olive oil
add	can you add almond milk?
add	i'd like to add honey
remove	no yogurt in this
remove	delete butter from the list
substitute	exchange mushroom with beef
remove	can you remove chicken?
add	let's put chia seeds in it
substitute	substitute honey for coconut milk
remove	eliminate almond milk
add	i'd like to add quinoa
add	can you add olive oil?
substitute	switch almond milk for mushroom
remove	remove coconut milk
remove	delete butter from the list
substitute	please use vegan cheese instead of eggs
substitute	substitute chia seeds for tofu
add	insert butter to my recipe
remove	can you remove eggs?
substitute	please use yogurt instead of tofu
add	i'd like to add tofu
remove	can you remove rice?
add	insert mushroom to my recipe
add	i want to include butter
add	i want to include quinoa
add	let's put butter in it
add	insert vegan cheese to my recipe
substitute	trade flour for chia seeds
substitute	can we swap quinoa with oat flour?
remove	don't use mushroom
substitute	trade olive oil for mushroom
remove	eliminate vegan cheese
add	add sugar to the list
substitute	trade chicken for oat flour
add	i'd like to add eggs
substitute	i prefer chia seeds over chicken
add	let's put yogurt in it
substitute	switch milk for mushroom
add	add butter
substitute	can we swap butter with quinoa?
remove	can you remove milk?
add	please add yogurt
substitute	use almond milk instead of milk
remove	don't use tofu
remove	don't use eggs
substitute	trade eggs for olive oil
remove	get rid of beef
add	add flour
