PrevToken	Token	NextToken	Label
vegan cheese	?	<END>	I-OLD
<START>	please	use	O
please	use	oat flour	O
use	oat flour	instead	B-NEW
oat flour	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	exclude	sugar	O
exclude	sugar	<END>	B-OLD
<START>	substitute	butter	O
substitute	butter	for	B-OLD
butter	for	vegan cheese	O
for	vegan cheese	<END>	B-NEW
<START>	no	almond milk	O
no	almond milk	in	B-OLD
almond milk	in	this	O
in	this	<END>	O
<START>	lets	put	O
lets	put	coconut milk	O
put	coconut milk	in	B-NEW
coconut milk	in	it	O
in	it	<END>	O
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	oat flour	O
add	oat flour	<END>	B-NEW
<START>	please	add	O
please	add	butter	O
add	butter	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	chicken	O
remove	chicken	?	B-OLD
chicken	?	<END>	I-OLD
<START>	include	beef	O
include	beef	please	B-NEW
beef	please	<END>	O
<START>	insert	yogurt	O
insert	yogurt	to	B-NEW
yogurt	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	throw	in	O
throw	in	some	O
in	some	vegan cheese	O
some	vegan cheese	<END>	B-NEW
<START>	lets	put	O
lets	put	flour	O
put	flour	in	B-NEW
flour	in	it	O
in	it	<END>	O
<START>	please	use	O
please	use	almond milk	O
use	almond milk	instead	B-NEW
almond milk	instead	of	O
instead	of	honey	O
of	honey	<END>	B-OLD
<START>	take	out	O
take	out	almond milk	O
out	almond milk	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	rice	O
of	rice	<END>	B-OLD
<START>	exclude	flour	O
exclude	flour	<END>	B-OLD
<START>	remove	olive oil	O
remove	olive oil	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	olive oil	O
swap	olive oil	with	B-OLD
olive oil	with	chicken	O
with	chicken	?	B-NEW
chicken	?	<END>	I-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	butter	O
add	butter	<END>	B-NEW
<START>	i	prefer	O
i	prefer	coconut milk	O
prefer	coconut milk	over	B-OLD
coconut milk	over	mushroom	O
over	mushroom	<END>	B-NEW
<START>	replace	coconut milk	O
replace	coconut milk	with	B-OLD
coconut milk	with	yogurt	O
with	yogurt	<END>	B-NEW
<START>	lets	put	O
lets	put	eggs	O
put	eggs	in	B-NEW
eggs	in	it	O
in	it	<END>	O
<START>	substitute	oat flour	O
substitute	oat flour	for	B-OLD
oat flour	for	yogurt	O
for	yogurt	<END>	B-NEW
<START>	delete	yogurt	O
delete	yogurt	from	B-OLD
yogurt	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	use	cheese	O
use	cheese	instead	B-NEW
cheese	instead	of	O
instead	of	sugar	O
of	sugar	<END>	B-OLD
<START>	add	milk	O
add	milk	<END>	B-NEW
<START>	skip	the	O
skip	the	coconut milk	O
the	coconut milk	<END>	B-OLD
<START>	insert	tofu	O
insert	tofu	to	B-NEW
tofu	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	get	rid	O
get	rid	of	O
rid	of	chicken	O
of	chicken	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	mushroom	O
add	mushroom	?	B-NEW
mushroom	?	<END>	I-NEW
<START>	take	out	O
take	out	quinoa	O
out	quinoa	<END>	B-OLD
<START>	use	oat flour	O
use	oat flour	instead	B-NEW
oat flour	instead	of	O
instead	of	milk	O
of	milk	<END>	B-OLD
<START>	please	use	O
please	use	eggs	O
use	eggs	instead	B-NEW
eggs	instead	of	O
instead	of	almond milk	O
of	almond milk	<END>	B-OLD
<START>	please	add	O
please	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	beef	O
of	beef	<END>	B-OLD
<START>	use	quinoa	O
use	quinoa	instead	B-NEW
quinoa	instead	of	O
instead	of	oat flour	O
of	oat flour	<END>	B-OLD
<START>	please	add	O
please	add	milk	O
add	milk	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	honey	O
of	honey	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	quinoa	O
add	quinoa	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	vegan cheese	O
remove	vegan cheese	?	B-OLD
vegan cheese	?	<END>	I-OLD
<START>	please	add	O
please	add	coconut milk	O
add	coconut milk	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	chicken	O
some	chicken	<END>	B-NEW
<START>	change	chicken	O
change	chicken	to	B-OLD
chicken	to	olive oil	O
to	olive oil	<END>	B-OLD
<START>	please	add	O
please	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	i	prefer	O
i	prefer	tofu	O
prefer	tofu	over	B-OLD
tofu	over	yogurt	O
over	yogurt	<END>	B-NEW
<START>	insert	rice	O
insert	rice	to	B-NEW
rice	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	can	you	O
can	you	remove	O
you	remove	chia	O
remove	chia	seeds	B-OLD
chia	seeds	?	I-OLD
seeds	?	<END>	I-OLD
<START>	throw	in	O
throw	in	some	O
in	some	honey	O
some	honey	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	mushroom	O
of	mushroom	<END>	B-OLD
<START>	please	add	O
please	add	chia	O
add	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	exchange	chia	O
exchange	chia	seeds	B-OLD
chia	seeds	with	I-OLD
seeds	with	oat flour	O
with	oat flour	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	quinoa	O
remove	quinoa	?	B-OLD
quinoa	?	<END>	I-OLD
<START>	add	olive oil	O
add	olive oil	to	B-NEW
olive oil	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	cheese	O
swap	cheese	with	B-OLD
cheese	with	flour	O
with	flour	?	B-NEW
flour	?	<END>	I-NEW
<START>	can	you	O
can	you	remove	O
you	remove	chicken	O
remove	chicken	?	B-OLD
chicken	?	<END>	I-OLD
<START>	insert	almond milk	O
insert	almond milk	to	B-NEW
almond milk	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	change	mushroom	O
change	mushroom	to	B-OLD
mushroom	to	beef	O
to	beef	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	almond milk	O
include	almond milk	<END>	B-NEW
<START>	eliminate	olive oil	O
eliminate	olive oil	<END>	B-OLD
<START>	exclude	yogurt	O
exclude	yogurt	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	quinoa	O
of	quinoa	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	yogurt	O
add	yogurt	?	B-NEW
yogurt	?	<END>	I-NEW
<START>	please	use	O
please	use	oat flour	O
use	oat flour	instead	B-NEW
oat flour	instead	of	O
instead	of	quinoa	O
of	quinoa	<END>	B-OLD
<START>	remove	tofu	O
remove	tofu	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	milk	O
of	milk	<END>	B-OLD
<START>	replace	tofu	O
replace	tofu	with	B-OLD
tofu	with	vegan cheese	O
with	vegan cheese	<END>	B-NEW
<START>	i	prefer	O
i	prefer	chia	O
prefer	chia	seeds	B-OLD
chia	seeds	over	I-OLD
seeds	over	coconut milk	O
over	coconut milk	<END>	B-NEW
<START>	add	yogurt	O
add	yogurt	to	B-NEW
yogurt	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	rice	O
of	rice	<END>	B-OLD
<START>	switch	quinoa	O
switch	quinoa	for	B-OLD
quinoa	for	tofu	O
for	tofu	<END>	B-NEW
<START>	delete	flour	O
delete	flour	from	B-OLD
flour	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	add	oat flour	O
add	oat flour	<END>	B-NEW
<START>	use	chia	O
use	chia	seeds	B-NEW
chia	seeds	instead	I-NEW
seeds	instead	of	O
instead	of	flour	O
of	flour	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	sugar	O
include	sugar	<END>	B-NEW
<START>	switch	flour	O
switch	flour	for	B-OLD
flour	for	honey	O
for	honey	<END>	B-NEW
<START>	please	add	O
please	add	quinoa	O
add	quinoa	<END>	B-NEW
<START>	no	milk	O
no	milk	in	B-OLD
milk	in	this	O
in	this	<END>	O
<START>	no	coconut milk	O
no	coconut milk	in	B-OLD
coconut milk	in	this	O
in	this	<END>	O
<START>	insert	vegan cheese	O
insert	vegan cheese	to	B-NEW
vegan cheese	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	please	add	O
please	add	tofu	O
add	tofu	<END>	B-NEW
<START>	exchange	oat flour	O
exchange	oat flour	with	B-OLD
oat flour	with	chia	O
with	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	use	quinoa	O
use	quinoa	instead	B-NEW
quinoa	instead	of	O
instead	of	sugar	O
of	sugar	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	tofu	O
swap	tofu	with	B-OLD
tofu	with	sugar	O
with	sugar	?	B-NEW
sugar	?	<END>	I-NEW
<START>	exchange	butter	O
exchange	butter	with	B-OLD
butter	with	oat flour	O
with	oat flour	<END>	B-NEW
<START>	no	coconut milk	O
no	coconut milk	in	B-OLD
coconut milk	in	this	O
in	this	<END>	O
<START>	can	you	O
can	you	add	O
you	add	chicken	O
add	chicken	?	B-NEW
chicken	?	<END>	I-NEW
<START>	replace	milk	O
replace	milk	with	B-OLD
milk	with	beef	O
with	beef	<END>	B-NEW
<START>	remove	tofu	O
remove	tofu	<END>	B-OLD
<START>	i	prefer	O
i	prefer	cheese	O
prefer	cheese	over	B-OLD
cheese	over	butter	O
over	butter	<END>	B-NEW
<START>	remove	oat flour	O
remove	oat flour	<END>	B-OLD
<START>	change	mushroom	O
change	mushroom	to	B-OLD
mushroom	to	honey	O
to	honey	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	olive oil	O
add	olive oil	?	B-NEW
olive oil	?	<END>	I-NEW
<START>	substitute	honey	O
substitute	honey	for	B-OLD
honey	for	quinoa	O
for	quinoa	<END>	B-NEW
<START>	add	mushroom	O
add	mushroom	<END>	B-NEW
<START>	use	sugar	O
use	sugar	instead	B-NEW
sugar	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	add	sugar	O
add	sugar	to	B-NEW
sugar	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	use	butter	O
use	butter	instead	B-NEW
butter	instead	of	O
instead	of	rice	O
of	rice	<END>	B-OLD
<START>	eliminate	chicken	O
eliminate	chicken	<END>	B-OLD
<START>	substitute	flour	O
substitute	flour	for	B-OLD
flour	for	tofu	O
for	tofu	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	chicken	O
swap	chicken	with	B-OLD
chicken	with	butter	O
with	butter	?	B-NEW
butter	?	<END>	I-NEW
<START>	add	beef	O
add	beef	to	B-NEW
beef	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	no	milk	O
no	milk	in	B-OLD
milk	in	this	O
in	this	<END>	O
<START>	skip	the	O
skip	the	tofu	O
the	tofu	<END>	B-OLD
<START>	insert	rice	O
insert	rice	to	B-NEW
rice	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	beef	O
include	beef	<END>	B-NEW
<START>	substitute	sugar	O
substitute	sugar	for	B-OLD
sugar	for	chia	O
for	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	please	use	O
please	use	honey	O
use	honey	instead	B-NEW
honey	instead	of	O
instead	of	rice	O
of	rice	<END>	B-OLD
<START>	exchange	sugar	O
exchange	sugar	with	B-OLD
sugar	with	beef	O
with	beef	<END>	B-NEW
<START>	trade	coconut milk	O
trade	coconut milk	for	B-OLD
coconut milk	for	flour	O
for	flour	<END>	B-NEW
<START>	exclude	milk	O
exclude	milk	<END>	B-OLD
<START>	skip	the	O
skip	the	coconut milk	O
the	coconut milk	<END>	B-OLD
<START>	switch	flour	O
switch	flour	for	B-OLD
flour	for	chicken	O
for	chicken	<END>	B-NEW
<START>	eliminate	coconut milk	O
eliminate	coconut milk	<END>	B-OLD
<START>	delete	tofu	O
delete	tofu	from	B-OLD
tofu	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	substitute	eggs	O
substitute	eggs	for	B-OLD
eggs	for	flour	O
for	flour	<END>	B-NEW
<START>	trade	butter	O
trade	butter	for	B-OLD
butter	for	rice	O
for	rice	<END>	B-NEW
<START>	lets	put	O
lets	put	chia	O
put	chia	seeds	B-NEW
chia	seeds	in	I-NEW
seeds	in	it	O
in	it	<END>	O
<START>	insert	mushroom	O
insert	mushroom	to	B-NEW
mushroom	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	remove	mushroom	O
remove	mushroom	<END>	B-OLD
<START>	please	add	O
please	add	rice	O
add	rice	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	eggs	O
of	eggs	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	cheese	O
add	cheese	?	B-NEW
cheese	?	<END>	I-NEW
<START>	change	olive oil	O
change	olive oil	to	B-OLD
olive oil	to	honey	O
to	honey	<END>	B-OLD
<START>	eliminate	chia	O
eliminate	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	substitute	tofu	O
substitute	tofu	for	B-OLD
tofu	for	sugar	O
for	sugar	<END>	B-NEW
<START>	no	yogurt	O
no	yogurt	in	B-OLD
yogurt	in	this	O
in	this	<END>	O
<START>	get	rid	O
get	rid	of	O
rid	of	mushroom	O
of	mushroom	<END>	B-OLD
<START>	change	quinoa	O
change	quinoa	to	B-OLD
quinoa	to	rice	O
to	rice	<END>	B-OLD
<START>	no	butter	O
no	butter	in	B-OLD
butter	in	this	O
in	this	<END>	O
<START>	please	add	O
please	add	vegan cheese	O
add	vegan cheese	<END>	B-NEW
<START>	exchange	almond milk	O
exchange	almond milk	with	B-OLD
almond milk	with	oat flour	O
with	oat flour	<END>	B-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	dont	use	O
dont	use	flour	O
use	flour	<END>	B-NEW
<START>	can	you	O
can	you	add	O
you	add	chia	O
add	chia	seeds	B-NEW
chia	seeds	?	I-NEW
seeds	?	<END>	I-NEW
<START>	add	coconut milk	O
add	coconut milk	to	B-NEW
coconut milk	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	no	milk	O
no	milk	in	B-OLD
milk	in	this	O
in	this	<END>	O
<START>	exclude	almond milk	O
exclude	almond milk	<END>	B-OLD
<START>	no	beef	O
no	beef	in	B-OLD
beef	in	this	O
in	this	<END>	O
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	almond milk	O
add	almond milk	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	coconut milk	O
remove	coconut milk	?	B-OLD
coconut milk	?	<END>	I-OLD
<START>	take	out	O
take	out	almond milk	O
out	almond milk	<END>	B-OLD
<START>	use	beef	O
use	beef	instead	B-NEW
beef	instead	of	O
instead	of	tofu	O
of	tofu	<END>	B-OLD
<START>	please	use	O
please	use	butter	O
use	butter	instead	B-NEW
butter	instead	of	O
instead	of	sugar	O
of	sugar	<END>	B-OLD
<START>	add	honey	O
add	honey	<END>	B-NEW
<START>	i	prefer	O
i	prefer	flour	O
prefer	flour	over	B-OLD
flour	over	yogurt	O
over	yogurt	<END>	B-NEW
<START>	take	out	O
take	out	butter	O
out	butter	<END>	B-OLD
<START>	include	olive oil	O
include	olive oil	please	B-NEW
olive oil	please	<END>	O
<START>	please	use	O
please	use	chicken	O
use	chicken	instead	B-NEW
chicken	instead	of	O
instead	of	beef	O
of	beef	<END>	B-OLD
<START>	change	honey	O
change	honey	to	B-OLD
honey	to	beef	O
to	beef	<END>	B-OLD
<START>	i	prefer	O
i	prefer	chicken	O
prefer	chicken	over	B-OLD
chicken	over	olive oil	O
over	olive oil	<END>	B-NEW
<START>	remove	chicken	O
remove	chicken	<END>	B-OLD
<START>	add	flour	O
add	flour	<END>	B-NEW
<START>	skip	the	O
skip	the	oat flour	O
the	oat flour	<END>	B-OLD
<START>	switch	vegan cheese	O
switch	vegan cheese	for	B-OLD
vegan cheese	for	chia	O
for	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	exchange	honey	O
exchange	honey	with	B-OLD
honey	with	almond milk	O
with	almond milk	<END>	B-NEW
<START>	lets	put	O
lets	put	almond milk	O
put	almond milk	in	B-NEW
almond milk	in	it	O
in	it	<END>	O
<START>	i	prefer	O
i	prefer	oat flour	O
prefer	oat flour	over	B-OLD
oat flour	over	mushroom	O
over	mushroom	<END>	B-NEW
<START>	please	add	O
please	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	olive oil	O
include	olive oil	<END>	B-NEW
<START>	add	eggs	O
add	eggs	to	B-NEW
eggs	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	please	use	O
please	use	sugar	O
use	sugar	instead	B-NEW
sugar	instead	of	O
instead	of	milk	O
of	milk	<END>	B-OLD
<START>	switch	sugar	O
switch	sugar	for	B-OLD
sugar	for	chicken	O
for	chicken	<END>	B-NEW
<START>	change	chia	O
change	chia	seeds	B-OLD
chia	seeds	to	I-OLD
seeds	to	vegan cheese	O
to	vegan cheese	<END>	B-OLD
<START>	include	sugar	O
include	sugar	please	B-NEW
sugar	please	<END>	O
<START>	include	milk	O
include	milk	please	B-NEW
milk	please	<END>	O
<START>	throw	in	O
throw	in	some	O
in	some	almond milk	O
some	almond milk	<END>	B-NEW
<START>	use	sugar	O
use	sugar	instead	B-NEW
sugar	instead	of	O
instead	of	yogurt	O
of	yogurt	<END>	B-OLD
<START>	change	olive oil	O
change	olive oil	to	B-OLD
olive oil	to	rice	O
to	rice	<END>	B-OLD
<START>	switch	yogurt	O
switch	yogurt	for	B-OLD
yogurt	for	beef	O
for	beef	<END>	B-NEW
<START>	replace	almond milk	O
replace	almond milk	with	B-OLD
almond milk	with	flour	O
with	flour	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	eggs	O
swap	eggs	with	B-OLD
eggs	with	sugar	O
with	sugar	?	B-NEW
sugar	?	<END>	I-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	almond milk	O
include	almond milk	<END>	B-NEW
<START>	dont	use	O
dont	use	coconut milk	O
use	coconut milk	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	cheese	O
remove	cheese	?	B-OLD
cheese	?	<END>	I-OLD
<START>	lets	put	O
lets	put	yogurt	O
put	yogurt	in	B-NEW
yogurt	in	it	O
in	it	<END>	O
<START>	please	add	O
please	add	olive oil	O
add	olive oil	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	quinoa	O
some	quinoa	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	rice	O
remove	rice	?	B-OLD
rice	?	<END>	I-OLD
<START>	can	you	O
can	you	remove	O
you	remove	chia	O
remove	chia	seeds	B-OLD
chia	seeds	?	I-OLD
seeds	?	<END>	I-OLD
<START>	delete	milk	O
delete	milk	from	B-OLD
milk	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	eggs	O
of	eggs	<END>	B-OLD
<START>	can	you	O
can	you	remove	O
you	remove	rice	O
remove	rice	?	B-OLD
rice	?	<END>	I-OLD
<START>	replace	yogurt	O
replace	yogurt	with	B-OLD
yogurt	with	flour	O
with	flour	<END>	B-NEW
<START>	i	prefer	O
i	prefer	coconut milk	O
prefer	coconut milk	over	B-OLD
coconut milk	over	milk	O
over	milk	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	flour	O
swap	flour	with	B-OLD
flour	with	eggs	O
with	eggs	?	B-NEW
eggs	?	<END>	I-NEW
<START>	add	flour	O
add	flour	<END>	B-NEW
<START>	exchange	almond milk	O
exchange	almond milk	with	B-OLD
almond milk	with	honey	O
with	honey	<END>	B-NEW
<START>	add	honey	O
add	honey	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	chicken	O
remove	chicken	?	B-OLD
chicken	?	<END>	I-OLD
<START>	exclude	cheese	O
exclude	cheese	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	mushroom	O
include	mushroom	<END>	B-NEW
<START>	please	add	O
please	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	replace	quinoa	O
replace	quinoa	with	B-OLD
quinoa	with	vegan cheese	O
with	vegan cheese	<END>	B-NEW
<START>	switch	honey	O
switch	honey	for	B-OLD
honey	for	butter	O
for	butter	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	mushroom	O
remove	mushroom	?	B-OLD
mushroom	?	<END>	I-OLD
<START>	dont	use	O
dont	use	honey	O
use	honey	<END>	B-NEW
<START>	i	prefer	O
i	prefer	milk	O
prefer	milk	over	B-OLD
